Uniq Id,Url,Name,Street,Zip Code,City,State,Phone,Email,Website,Categories
8818b239af04554c3d78e50fde37b2be,http://www.yellowpages.com/revere-ma/mip/ital-uil-usa-459527423?lid=459527423,Ital Uil Usa,199 Revere St,02151,Revere,MA,(781) 284-6425,"","","Italian Restaurants, Mediterranean Restaurants, Restaurants"
24db17d57d8def6e0e9d8b4086a13457,http://www.yellowpages.com/watertown-ma/mip/sbarro-7058407?lid=7058407,Sbarro,455 Arsenal St,02472,Watertown,MA,(617) 926-9372,"",http://www.sbarro.com,"Pizza, Italian Restaurants, Family Style Restaurants, Restaurants, Fast Food Restaurants"
9285fda8cc37ecd02a9d85ca1f5d9631,http://www.yellowpages.com/medford-ma/mip/helens-roastbeef-pizzeria-11278421?lid=11278421,Helens Roastbeef Pizzeria,321A Boston Ave,02155,Medford,MA,(781) 395-9097,"","","Italian Restaurants, Pizza, American Restaurants, Steak Houses, Sandwich Shops, Restaurants"
b68ae4954fd6975b82f28fb1299d9e35,http://www.yellowpages.com/west-roxbury-ma/mip/west-napoli-cafe-9948406?lid=9948406,West Napoli Cafe,1946 Centre St,02132,West Roxbury,MA,(617) 325-7909,"",http://www.westnapolipizza.com,"Pizza, Italian Restaurants, Sandwich Shops, Restaurants"
a354f7f7a3907bc8b21bbd7ba9c632e8,http://www.yellowpages.com/newton-ma/mip/uno-chicago-grill-464769243?lid=464769243,Uno Chicago Grill,287 Washington St,02458,Newton,MA,(617) 964-7663,mail@unos.com,http://www.unos.com,"Restaurants, Pizza, Bar & Grills, Take Out Restaurants, Italian Restaurants"
e2d27eac972de2d2fa029e9611030b9d,http://www.yellowpages.com/arlington-ma/mip/arlington-house-of-pizza-6883161?lid=6883161,Arlington House Of Pizza,797 Massachusetts Ave,02476,Arlington,MA,(781) 646-5016,"",http://www.arlingtonhouseofpizza.com,"Pizza, Italian Restaurants, Restaurants"
a9507573ee5a84fde2789320e0a8a78e,http://www.yellowpages.com/winthrop-ma/mip/letteries-italian-market-10958603?lid=10958603,Letterie's Italian Market,67 Woodside Ave,02152,Winthrop,MA,(617) 846-0351,"","","Italian Restaurants, Delicatessens, Mediterranean Restaurants, Restaurants"
0c989ba52903dd0fd3071c5985b3c991,http://www.yellowpages.com/boston-ma/mip/aragosta-bar-and-bistro-465271887?lid=465271887,Aragosta Bar and Bistro,3 Battery Wharf,02109,Boston,MA,(617) 994-9036,info@aragostabistro.com,http://www.aragostabistro.com,Italian Restaurants
2005df67e10813c82a04b3c3848d202e,http://www.yellowpages.com/stoneham-ma/mip/andreas-house-of-pizza-10495215?lid=10495215,Andrea's House Of Pizza,498 Main St,02180,Stoneham,MA,(781) 438-9115,CKomburas@coldcuts.com,http://andreashouseofpizza.com,"Pizza, Convenience Stores, Delicatessens, American Restaurants, Sandwich Shops, Italian Restaurants, Restaurants"
29d24e2ea14584e8f406bab7a4d2c367,http://www.yellowpages.com/arlington-ma/mip/my-brothers-place-8030303?lid=8030303,My Brothers Place,181 Broadway,02474,Arlington,MA,(781) 646-0110,Emmanuelstr@gmail.com,http://mybrothersplacearlington.net,"Pizza, American Restaurants, Sandwich Shops, Italian Restaurants, Restaurants"
47292255beb373bc1d4eafb97b6b2fcb,http://www.yellowpages.com/dedham-ma/mip/uno-chicago-grill-473716397?lid=473716397,Uno Chicago Grill,270 Providence Hwy,02026,Dedham,MA,(781) 320-0356,mail@unos.com,http://www.unos.com,"Pizza, Bar & Grills, Restaurants, Italian Restaurants, Take Out Restaurants"
31208cb6c5cc0d0b8692dcf01501ced1,http://www.yellowpages.com/newton-ma/mip/bertuccis-12821993?lid=12821993,Bertucci's,275 Centre St,02458,Newton,MA,(617) 244-4900,guestrelations@bertuccis.com,http://www.bertuccis.com,"Italian Restaurants, Restaurants, Pizza"
b6c273c657ce298530641e694cf46be2,http://www.yellowpages.com/saugus-ma/mip/victors-italian-restaurant-121493?lid=121493,Victor's Italian Restaurant,560 Lincoln Ave,01906,Saugus,MA,(781) 231-0532,info@victorsofyork.com,http://www.victorsitalianrestaurant.com,"Italian Restaurants, Mediterranean Restaurants, Restaurants"
13c989018af541781b998fa02476a439,http://www.yellowpages.com/cambridge-ma/mip/trattoria-pulcinella-4558890?lid=4558890,Trattoria Pulcinella,147 Huron Ave,02138,Cambridge,MA,(617) 491-6336,giovannioliva@comcast.net,http://www.trattoriapulcinella.net,"Italian Restaurants, Mediterranean Restaurants, Restaurants"
e19d8dcf504f15e56bdfe4dd3e73750d,http://www.yellowpages.com/west-roxbury-ma/mip/christos-pizza-7804601?lid=7804601,Christos Pizza,1761 Centre St,02132,West Roxbury,MA,(617) 327-9047,"",http://www.christos-pizza.com,"Pizza, Italian Restaurants, Greek Restaurants, American Restaurants, Sandwich Shops, Restaurants"
85cd53b90066569773dbdd5d747db4f3,http://www.yellowpages.com/melrose-ma/mip/casa-mia-restaurant-1288441?lid=1288441,Casa Mia Restaurant,399 Main St,02176,Melrose,MA,(781) 662-6777,"",http://www.casamiarestaurantmelrose.com,"Family Style Restaurants, Italian Restaurants, Mexican Restaurants, Latin American Restaurants, Restaurants"
51952e1fd194dd70ecac433fb0b5fcdb,http://www.yellowpages.com/dorchester-center-ma/mip/pats-pizza-2124467?lid=2124467,Pat's Pizza,2254 Dorchester Ave,02124,Dorchester Center,MA,(617) 298-9625,"",http://patspizzeria.com,"Pizza, Sandwich Shops, Italian Restaurants, Restaurants"
638ef7f535f830bc760af450dea5072e,http://www.yellowpages.com/allston-ma/mip/alfredos-restaurant-16692279?lid=16692279,Alfredo's Restaurant,229 Brighton Ave,02134,Allston,MA,(617) 562-8222,alfred@alfredosonline.com,http://alfredosonline.com,"American Restaurants, Italian Restaurants, Mediterranean Restaurants, Family Style Restaurants, Pizza, Sandwich Shops, Restaurants"
d7291868a3dc2ba4b2a2b275b92e760c,http://www.yellowpages.com/medford-ma/mip/pranzis-4902232?lid=4902232,Pranzi's,186 Winthrop St,02155,Medford,MA,(781) 395-5005,"",http://www.pranzis.com,"Pizza, Italian Restaurants, Restaurants"
c6c7db56e091020de70db00c2ef11827,http://www.yellowpages.com/saugus-ma/mip/carmalenos-pushcart-rest-456816568?lid=456816568,Carmalenos Pushcart Rest,331 Main St,01906,Saugus,MA,(781) 233-7200,c@pushcart.comcastbiz.net,http://www.cpushcart.com,"Family Style Restaurants, Italian Restaurants, Mediterranean Restaurants, Restaurants"
9297e3a76b4a33c0f8165a559a0d6853,http://www.yellowpages.com/allston-ma/mip/lillys-gourmet-pasta-express-26137812?lid=26137812,Lilly's Gourmet Pasta Express,172 Brighton Ave,02134,Allston,MA,(617) 783-8787,"",http://allstonitalianfood.com,"Italian Restaurants, Fine Dining Restaurants, Mediterranean Restaurants, Restaurants"
ab49b8c0d65b2d09b49b9c7020b011fb,http://www.yellowpages.com/boston-ma/mip/umbria-prime-458922091?lid=1000810855199,Umbria Prime,295 Franklin St,02110,Boston,MA,(617) 892-4254,stefan@dventures.net,http://umbriaristorante.com,"Italian Restaurants, Bars, Cocktail Lounges, Fine Dining Restaurants, Steak Houses, Seafood Restaurants, Bar & Grills, Mediterranean Restaurants, Taverns, American Restaurants, Restaurants"
8aaa26578e7901f1845adb4ffc5f9068,http://www.yellowpages.com/jamaica-plain-ma/mip/same-old-place-10102655?lid=10102655,Same Old Place,662 Centre St,02130,Jamaica Plain,MA,(617) 524-9461,"",http://www.sameoldplacejp.com,"Pizza, Italian Restaurants, American Restaurants, Sandwich Shops, Restaurants"
